Operator,Sport,League,1x2,Total/Goals(2way),Handicap(2 way)
SuperBet,Football,ENGLAND,104,104.8,103.7
SuperBet,Football,ARGENTINA,104.6,105.1,105.1
SuperBet,Football,AUSTRALIA,104.8,105.3,104.8
SuperBet,Football,AUSTRIA,105,105.1,105.4
SuperBet,Football,BELGIUM,104.1,106.4,105.4
SuperBet,Football,BELARUS,107.6,108.2,108.2
SuperBet,Football,BRAZIL,104.6,105.1,105.3
SuperBet,Football,BULGARIA,107.3,108,108
SuperBet,Football,CROATIA,107.7,104.8,106.9
SuperBet,Football,CYPRUS,107.5,108.2,108.2
SuperBet,Football,CZECH REPUBLIC,105.5,105.6,105.3
SuperBet,Football,DENMARK,105.4,105.1,105.3
SuperBet,Football,FINLAND,105.2,105.1,104.8
SuperBet,Football,FRANCE,104,105.3,104.1
SuperBet,Football,GREECE,104.8,105.1,105.3
SuperBet,Football,SPAIN,104.4,105.3,103.7
SuperBet,Football,NETHERLANDS,104.5,105.3,105.1
SuperBet,Football,IRELAND,104.9,104.8,105.3
SuperBet,Football,ICELAND,107.9,108.2,108.1
SuperBet,Football,ISRAEL,108.1,108.1,107.6
SuperBet,Football,WORLD CUP,104.1,104.8,104.3
SuperBet,Football,CHAMPIONS LEAGUE,104,105.4,105.1
SuperBet,Football,EUROPA LEAGUE,105.7,105.4,104.3
SuperBet,Football,GERMANY,104.5,105.6,104.8
SuperBet,Football,NORWAY,104.4,105.4,108
SuperBet,Football,POLAND,104.1,105.3,105.1
SuperBet,Football,PORTUGAL,104.1,105.3,103.7
SuperBet,Football,ROMANIA,103.8,105.4,106.9
SuperBet,Football,SERBIA,107,105.4,105.1
SuperBet,Football,SCOTLAND,104.7,105.3,105.3
SuperBet,Football,SWITZERLAND,104.7,105.3,104.8
SuperBet,Football,SWEDEN,105.6,104.8,104.8
SuperBet,Football,SLOVAKIA,106.9,104.8,106.9
SuperBet,Football,SLOVENIA,107.6,105.3,105.3
SuperBet,Football,TURKEY,104.7,105.3,105.3
SuperBet,Football,USA,104.4,105.3,104.8
SuperBet,Football,HUNGARY,107.7,105.3,104.3
SuperBet,Football,ITALY,104,105.3,107.9
SuperBet,Football,Super Offer,100,105.3,105.3
SuperBet,Football,Cup Italy,105.7,105.3,107.9
SuperBet,Football,Cup England,108,108.1,107.1
SuperSport,Football,ENGLAND,107.5,108.4,111.4
SuperSport,Football,ARGENTINA,111.1,108.4,108.6
SuperSport,Football,AUSTRALIA,110.8,108.8,111.4
SuperSport,Football,AUSTRIA,107.5,108.2,113.4
SuperSport,Football,BELGIUM,107.6,108.4,111
SuperSport,Football,BELARUS,111.3,108.1,112.3
SuperSport,Football,BRAZIL,111.2,108.2,111.4
SuperSport,Football,BULGARIA,111,108,106.3
SuperSport,Football,CROATIA,105,107.3,110.2
SuperSport,Football,CYPRUS,110.7,108.4,108.6
SuperSport,Football,CZECH REPUBLIC,107.7,108.2,111.4
SuperSport,Football,DENMARK,107.1,108.4,111.9
SuperSport,Football,FINLAND,111.1,108.8,110
SuperSport,Football,FRANCE,106.9,108.2,110.1
SuperSport,Football,GREECE,111.12,108.8,110.1
SuperSport,Football,SPAIN,107.3,108.4,111.4
SuperSport,Football,NETHERLANDS,107.6,108.2,111.1
SuperSport,Football,IRELAND,110.8,108.2,110.2
SuperSport,Football,ICELAND,111.1,109,112.3
SuperSport,Football,ISRAEL,111.6,108.4,111.5
SuperSport,Football,WORLD CUP,107.6,108.2,111.3
SuperSport,Football,CHAMPIONS LEAGUE,105.4,107.4,110.5
SuperSport,Football,EUROPA LEAGUE,105.3,108,111.4
SuperSport,Football,GERMANY,107.4,108.4,109.6
SuperSport,Football,NORWAY,107.7,108,110.3
SuperSport,Football,POLAND,110.9,108.1,111.4
SuperSport,Football,PORTUGAL,108,108.1,112.6
SuperSport,Football,ROMANIA,110.3,108.3,109.8
SuperSport,Football,SERBIA,110.9,108.3,111.9
SuperSport,Football,SCOTLAND,107.7,108.2,110.6
SuperSport,Football,SWITZERLAND,107.7,108.8,111.1
SuperSport,Football,SWEDEN,107.3,108.1,109.8
SuperSport,Football,SLOVAKIA,111.2,108.2,109.8
SuperSport,Football,SLOVENIA,111.5,108.2,110.1
SuperSport,Football,TURKEY,107.4,108.4,113.1
SuperSport,Football,USA,111.1,108.2,111.9
SuperSport,Football,HUNGARY,111.5,108.1,112.3
SuperSport,Football,ITALY,107.5,108.1,111.1
SuperSport,Football,Super Offer,100,108.4,110.6
SuperSport,Football,Cup Italy,107.5,108.2,112.3
SuperSport,Football,Cup England,111.53,108.1,111.1
